race_number,post_position,horse_name,jockey,trainer,weight,medication,morning_line_odds
34,4,4,Discerning Spirit (KY),,3/G,,L   Sosa
34,5,5,Baker Hayfield (KY),,3/C,L,G   Saez
34,6,6,Bourbon Flight (KY),,3/C,L,J   Rosario
34,7,7,Big Truzz (KY),,3/C,L,L   Saez
34,8,8,Zandvoort (KY),,3/C,L,J L Ortiz
34,9,9,Vex (KY),,3/G,L,L   Machado
34,10,10,Nantucket (KY),,3/C,L,M   Franco
34,SCR,Sinister Smile (KY),,------------------------------------Scratched-------------------------------------,30/1,,
34,12,12,Modus Bestia (MD),,3/C,L,R   Gutierrez
38,2,2,Always Forever (KY),,3/F,L,M   Franco
38,3,3,Atomic City (KY),,3/F,L,L   Saez
38,SCR,Romany Road (KY),,------------------------------------Scratched-------------------------------------,20/1,,
38,5,5,Burning Pine (KY),,3/F,L,J   Rosario
38,6,6,Precious Medley (KY),,3/F,L,A   Beschizza
38,7,7,Dear Louise (KY),,3/F,L,B   Curtis
38,8,8,Bessie Abott (IRE),,3/F,L,J L Ortiz
38,9,9,Miss Lonelle (KY),,3/F,L,C J Lanerie
38,10,10,Eunomia (KY),,3/F,L,J R Velazquez
38,11,11,Al Jafara (GB),,3/F,L,F   Prat
38,12,12,Birkin Girl (KY),,3/F,L,L   Machado
